URL,IMDB_ID,BETASERIES_ID,THEMOVIEDB_ID,IS_ACTIVE
/series/ficheserie_gen_cserie=144.html,tt0364817,trucalling,2188,FALSE
/series/ficheserie_gen_cserie=145.html,tt0362359,theoc,2673,FALSE
/series/ficheserie_gen_cserie=147.html,tt0373474,missing,45388,FALSE
/series/ficheserie_gen_cserie=153.html,tt0364828,lasvegas,2389,TRUE
/series/ficheserie_gen_cserie=157.html,tt0362867,missmatch,2084,FALSE
/series/ficheserie_gen_cserie=160.html,tt0361217,niptuck,3750,FALSE
/series/ficheserie_gen_cserie=161.html,tt0327375,tremors,4372,FALSE
/series/ficheserie_gen_cserie=164.html,tt0367344,jake20,4569,FALSE
/series/ficheserie_gen_cserie=174.html,tt0367424,tarzan,2210,FALSE
/series/ficheserie_gen_cserie=175.html,tt0348913,deadlikeme,2566,FALSE
/series/ficheserie_gen_cserie=177.html,tt0368530,oth,269,TRUE
/series/ficheserie_gen_cserie=179.html,tt0204993,darkangel,2407,FALSE
/series/ficheserie_gen_cserie=181.html,tt0319969,carnivale,185,FALSE
/series/ficheserie_gen_cserie=182.html,tt0106179,xfiles,4087,FALSE
/series/ficheserie_gen_cserie=184.html,tt0118254,allymcbeal,1480,FALSE
/series/ficheserie_gen_cserie=185.html,tt0220178,youngamericans,3609,FALSE
/series/ficheserie_gen_cserie=187.html,tt0115320,thepretender,1706,FALSE
/series/ficheserie_gen_cserie=188.html,tt0289830,taken,2432,FALSE
/series/ficheserie_gen_cserie=198.html,tt0330251,thelword,3475,FALSE
/series/ficheserie_gen_cserie=199.html,tt0386676,theofficeus,2316,TRUE
/series/ficheserie_gen_cserie=202.html,tt0324864,kingdomhospital,1617,FALSE
/series/ficheserie_gen_cserie=207.html,tt0361256,wonderfalls,1982,FALSE
/series/ficheserie_gen_cserie=209.html,tt0400037,summerland,4106,FALSE
/series/ficheserie_gen_cserie=212.html,tt0374455,stargateatlantis,2290,FALSE
/series/ficheserie_gen_cserie=213.html,tt0348914,deadwood,1406,TRUE
/series/ficheserie_gen_cserie=218.html,tt0375355,joey,1466,FALSE
/series/ficheserie_gen_cserie=220.html,tt0411011,medicalinvestigation,547,FALSE
/series/ficheserie_gen_cserie=221.html,tt0410975,desperatehousewives,693,FALSE
/series/ficheserie_gen_cserie=223.html,tt0411008,lost,4607,TRUE
/series/ficheserie_gen_cserie=226.html,tt0402711,bostonlegal,4598,FALSE
/series/ficheserie_gen_cserie=231.html,tt0410970,clubhouse,9893,FALSE
/series/ficheserie_gen_cserie=232.html,tt0395843,csiny,2458,FALSE
/series/ficheserie_gen_cserie=235.html,tt0409594,northshore,1650,FALSE
/series/ficheserie_gen_cserie=238.html,tt0412142,house,1408,FALSE
/series/ficheserie_gen_cserie=239.html,tt0412148,theinside,5339,FALSE
/series/ficheserie_gen_cserie=243.html,tt0412162,kevinhill,9762,TRUE
/series/ficheserie_gen_cserie=245.html,tt0412253,veronicamars,1432,FALSE
/series/ficheserie_gen_cserie=246.html,tt0115163,earlyedition,1716,FALSE
/series/ficheserie_gen_cserie=248.html,tt0260596,100-centre-street,12327,FALSE
/series/ficheserie_gen_cserie=249.html,tt0134247,felicity,2822,FALSE
/series/ficheserie_gen_cserie=250.html,tt0387199,entourage,1940,FALSE
/series/ficheserie_gen_cserie=251.html,tt0389564,the4400,1481,FALSE
/series/ficheserie_gen_cserie=252.html,tt0381798,rescueme,4344,FALSE
/series/ficheserie_gen_cserie=256.html,tt0338639,un-dos-tres,6798,FALSE
/series/ficheserie_gen_cserie=257.html,tt0115369,spincity,2359,FALSE
/series/ficheserie_gen_cserie=259.html,tt0318997,angelsinamerica,11245,FALSE
/series/ficheserie_gen_cserie=261.html,tt0407362,battlestargalactica,1972,FALSE
/series/ficheserie_gen_cserie=262.html,tt0433309,numb3rs,578,FALSE
/series/ficheserie_gen_cserie=263.html,tt0412175,medium,36,TRUE
/series/ficheserie_gen_cserie=264.html,tt0421316,committed,2438,FALSE
/series/ficheserie_gen_cserie=265.html,tt0247119,mysteriousways,2027,FALSE
/series/ficheserie_gen_cserie=269.html,tt0424609,blindjustice,9875,FALSE
/series/ficheserie_gen_cserie=271.html,tt0415456,jake-in-progress,3553,FALSE
/series/ficheserie_gen_cserie=272.html,tt0406429,lawordertrialbyjury,3357,FALSE
/series/ficheserie_gen_cserie=274.html,tt0413573,greysanatomy,1416,TRUE
/series/ficheserie_gen_cserie=277.html,tt0202198,onceandagain,638,FALSE
/series/ficheserie_gen_cserie=278.html,tt0207919,relichunter,2855,FALSE
/series/ficheserie_gen_cserie=279.html,tt0448303,stacked,4311,FALSE
/series/ficheserie_gen_cserie=281.html,tt0096684,codequantum,4018,FALSE
/series/ficheserie_gen_cserie=283.html,tt0105929,absolutelyfabulous,4493,TRUE
/series/ficheserie_gen_cserie=284.html,tt0105946,babylon5,3137,FALSE
/series/ficheserie_gen_cserie=285.html,tt0106057,loisandclark,4515,FALSE
/series/ficheserie_gen_cserie=286.html,tt0058855,the-wild-wild-west,10929,FALSE
/series/ficheserie_gen_cserie=287.html,tt0098904,seinfeld,1400,FALSE
/series/ficheserie_gen_cserie=288.html,tt0060028,startrek,253,FALSE
/series/ficheserie_gen_cserie=289.html,tt0054518,avengers,2473,FALSE
/series/ficheserie_gen_cserie=290.html,tt0096697,simpsons,456,FALSE
/series/ficheserie_gen_cserie=291.html,tt0066701,thepersuaders,2543,FALSE
/series/ficheserie_gen_cserie=292.html,tt0071007,littlehouseontheprairie1974,1781,FALSE
/series/ficheserie_gen_cserie=293.html,tt0073972,charlies-angels,3382,TRUE
/series/ficheserie_gen_cserie=294.html,tt0296318,camera-cafe,1533,FALSE
/series/ficheserie_gen_cserie=295.html,tt0050079,zorro1957,4681,FALSE
/series/ficheserie_gen_cserie=296.html,tt0068093,kung-fu,1472,FALSE
/series/ficheserie_gen_cserie=297.html,tt0055701,thesaint,4333,FALSE
/series/ficheserie_gen_cserie=298.html,tt0217224,un-gars-une-fille-france,61679,FALSE
/series/ficheserie_gen_cserie=299.html,tt0077000,dallas,40,FALSE
/series/ficheserie_gen_cserie=300.html,tt0108717,cadfael,35942,FALSE
/series/ficheserie_gen_cserie=301.html,tt0072567,starsky-hutch,1532,FALSE
/series/ficheserie_gen_cserie=302.html,tt0088583,north-and-south,3266,FALSE
/series/ficheserie_gen_cserie=303.html,tt0338608,frank-riva,52446,TRUE
/series/ficheserie_gen_cserie=304.html,tt0092455,startrekthenextgeneration,655,FALSE
/series/ficheserie_gen_cserie=305.html,tt0112178,startrekvoyager,1855,FALSE
/series/ficheserie_gen_cserie=306.html,tt0185906,bandofbrothers,4613,FALSE
/series/ficheserie_gen_cserie=308.html,tt1466074,columbo,873,FALSE
/series/ficheserie_gen_cserie=309.html,tt0061287,theprisoner,894,FALSE
/series/ficheserie_gen_cserie=310.html,tt0112230,xenawarriorprincess,4616,FALSE
/series/ficheserie_gen_cserie=311.html,tt0092400,marriedwithchildren,4239,FALSE
/series/ficheserie_gen_cserie=312.html,tt0051327,wanted-dead-or-alive,13837,FALSE
/series/ficheserie_gen_cserie=314.html,tt0115322,profiler,2651,FALSE
/series/ficheserie_gen_cserie=315.html,tt0080240,magnum,734,FALSE
/series/ficheserie_gen_cserie=316.html,tt0166036,les-brigades-du-tigre,42956,FALSE
/series/ficheserie_gen_cserie=317.html,tt0084967,theateam,1516,FALSE
/series/ficheserie_gen_cserie=318.html,tt0098800,thefreshprinceofbelair,1892,FALSE
/series/ficheserie_gen_cserie=321.html,tt0096542,baywatch,4386,FALSE
/series/ficheserie_gen_cserie=322.html,tt0423713,plus-belle-la-vie,8590,FALSE
/series/ficheserie_gen_cserie=325.html,tt0108724,chicago-hope,6467,FALSE
/series/ficheserie_gen_cserie=326.html,tt0103442,highlander,4414,FALSE
/series/ficheserie_gen_cserie=327.html,tt0101120,home-improvement,1558,FALSE
/series/ficheserie_gen_cserie=328.html,tt0078607,the-dukes-of-hazzard,397,FALSE
/series/ficheserie_gen_cserie=329.html,tt0085029,hardcastle-mccormick,1271,FALSE
/series/ficheserie_gen_cserie=330.html,tt0103484,madaboutyou,500,FALSE
/series/ficheserie_gen_cserie=332.html,tt0085088,scarecrow-and-mrs-king,3414,FALSE
/series/ficheserie_gen_cserie=333.html,tt0105986,diagnostic-meurtre,2625,TRUE
/series/ficheserie_gen_cserie=334.html,tt0441059,kaamelott,11466,FALSE
/series/ficheserie_gen_cserie=335.html,tt0094511,mission-impossible-20-ans-apres,9894,FALSE
/series/ficheserie_gen_cserie=336.html,tt0111999,herculesthelegendaryjourneys,4615,FALSE
/series/ficheserie_gen_cserie=337.html,tt0086789,riptide,4379,FALSE
/series/ficheserie_gen_cserie=340.html,tt0101198,silkstalkings,3114,FALSE
/series/ficheserie_gen_cserie=342.html,tt0163949,martiallaw,586,FALSE
/series/ficheserie_gen_cserie=343.html,tt0096579,familymatters,2685,TRUE
/series/ficheserie_gen_cserie=344.html,tt0061266,ironside,4582,FALSE
/series/ficheserie_gen_cserie=345.html,tt0069599,kojak,3572,FALSE
/series/ficheserie_gen_cserie=346.html,tt0083412,fame,1798,FALSE
/series/ficheserie_gen_cserie=348.html,tt0057733,bewitched,4482,FALSE
/series/ficheserie_gen_cserie=349.html,tt0108894,partyoffive,4266,FALSE
/series/ficheserie_gen_cserie=350.html,tt0086787,punkybrewster,2553,FALSE
/series/ficheserie_gen_cserie=356.html,tt0106080,thenanny,2352,FALSE
/series/ficheserie_gen_cserie=357.html,tt0094540,roseanne,2706,FALSE
/series/ficheserie_gen_cserie=358.html,tt0106145,startrekdeepspacenine,580,TRUE
/series/ficheserie_gen_cserie=359.html,tt0098749,beverlyhills90210,2025,FALSE
/series/ficheserie_gen_cserie=360.html,tt0103491,melroseplace,4349,FALSE
/series/ficheserie_gen_cserie=361.html,tt0077003,diffrent-strokes,2410,FALSE
/series/ficheserie_gen_cserie=362.html,tt0086759,miamivice,1908,FALSE
/series/ficheserie_gen_cserie=365.html,tt0160904,spooks,4046,FALSE
/series/ficheserie_gen_cserie=367.html,tt0083437,knightrider1982,2384,FALSE
/series/ficheserie_gen_cserie=369.html,tt0112167,sliders,1649,FALSE
/series/ficheserie_gen_cserie=370.html,tt0108800,heartbreakhigh,12998,FALSE
/series/ficheserie_gen_cserie=373.html,tt0086765,murdershewrote,484,TRUE
/series/ficheserie_gen_cserie=375.html,tt0202746,oh-grow-up,16303,FALSE
/series/ficheserie_gen_cserie=376.html,tt0069658,theyoungandtherestless,1054,FALSE
/series/ficheserie_gen_cserie=377.html,tt0092325,the-bold-and-the-beautiful,6647,FALSE
/series/ficheserie_gen_cserie=378.html,tt0058796,days-of-our-lives,881,FALSE
/series/ficheserie_gen_cserie=380.html,tt0092359,fullhouse1999,4313,FALSE
/series/ficheserie_gen_cserie=381.html,tt0083399,cheers,141,FALSE
/series/ficheserie_gen_cserie=382.html,tt0052520,thetwilightzone,6357,FALSE
/series/ficheserie_gen_cserie=383.html,tt0106168,walkertexasranger,3772,TRUE
/series/ficheserie_gen_cserie=390.html,tt0112111,theouterlimits,21561,FALSE
/series/ficheserie_gen_cserie=391.html,tt0088559,macgyver,2875,FALSE
/series/ficheserie_gen_cserie=392.html,tt0092312,21jumpstreet,1486,FALSE
/series/ficheserie_gen_cserie=393.html,tt0078638,knotslanding,2595,TRUE
/series/ficheserie_gen_cserie=401.html,tt0108988,weirdscience,4076,FALSE
/series/ficheserie_gen_cserie=404.html,tt0081859,lhomme-qui-tombe-a-pic,5031,FALSE
/series/ficheserie_gen_cserie=410.html,tt0075529,theloveboat,1823,FALSE
/series/ficheserie_gen_cserie=411.html,tt0088618,street-hawk,3318,FALSE
/series/ficheserie_gen_cserie=412.html,tt0120570,from-the-earth-to-the-moon,3556,FALSE
/series/ficheserie_gen_cserie=413.html,tt0088571,moonlighting,1998,TRUE
/series/ficheserie_gen_cserie=414.html,tt0086734,rick-hunter,4571,FALSE
/series/ficheserie_gen_cserie=415.html,tt0103405,drquinnmedicinewoman,4324,FALSE
/series/ficheserie_gen_cserie=418.html,tt0057790,thunderbirds,891,FALSE
/series/ficheserie_gen_cserie=419.html,tt0434672,thecomeback,1999,FALSE
/series/ficheserie_gen_cserie=422.html,tt0273366,lizziemcguire,4575,FALSE
/series/ficheserie_gen_cserie=425.html,tt0096658,navarro,42456,FALSE
/series/ficheserie_gen_cserie=426.html,tt0460091,mynameisearl,2317,FALSE
/series/ficheserie_gen_cserie=427.html,tt0460084,e-ring,1870,FALSE
/series/ficheserie_gen_cserie=428.html,tt0452718,surface,3486,FALSE
/series/ficheserie_gen_cserie=430.html,tt0362192,stateofplay,4043,FALSE
/series/ficheserie_gen_cserie=433.html,tt0429455,commanderinchief,4015,TRUE
/series/ficheserie_gen_cserie=434.html,tt0460651,invasion,2940,FALSE
/series/ficheserie_gen_cserie=435.html,tt0460665,night-stalker,1684,FALSE
/series/ficheserie_gen_cserie=436.html,tt0052451,bonanza,1018,FALSE
/series/ficheserie_gen_cserie=440.html,tt0460681,supernatural,1622,FALSE
/series/ficheserie_gen_cserie=442.html,tt0108872,mysocalledlife,1101,FALSE
/series/ficheserie_gen_cserie=443.html,tt0452046,criminalminds,4057,TRUE
/series/ficheserie_gen_cserie=444.html,tt0460631,closetohome,4662,FALSE
/series/ficheserie_gen_cserie=445.html,tt0460644,ghostwhisperer,1606,FALSE
/series/ficheserie_gen_cserie=446.html,tt0460649,himym,1100,FALSE
