URL,IMDB_ID,BETASERIES_ID,THEMOVIEDB_ID,METACRITIC_ID,ROTTEN_TOMATOES_ID,IS_ACTIVE
/film/fichefilm_gen_cfilm=86.html,tt0082081,59765-die-bleierne-zeit,42142,null,marianne_and_juliane,FALSE
/film/fichefilm_gen_cfilm=87.html,tt0083564,3179-annie,15739,annie,annie_1981,FALSE
/film/fichefilm_gen_cfilm=88.html,tt0075686,3257-annie-hall,703,annie-hall-1977,annie_hall,FALSE
/film/fichefilm_gen_cfilm=89.html,tt0053772,62731-djavulens-oga,48145,null,770675431,FALSE
/film/fichefilm_gen_cfilm=90.html,tt0086904,21633-another-country,31939,null,another_country,FALSE
/film/fichefilm_gen_cfilm=92.html,tt0064256,36342-o-dragao-da-maldade-contra-o-santo-guerreiro,74349,null,null,FALSE
/film/fichefilm_gen_cfilm=96.html,tt0065421,3271-the-aristocats,10112,the-aristocats,aristocats,FALSE
/film/fichefilm_gen_cfilm=98.html,tt0087622,20544-de-lift,11417,null,de-lift-the-lift-goin-up,FALSE
/film/fichefilm_gen_cfilm=99.html,tt0083580,3787-las-des-as,71524,null,null,FALSE
/film/fichefilm_gen_cfilm=104.html,tt0050870,43893-pyaasa,41053,null,null,FALSE
/film/fichefilm_gen_cfilm=105.html,tt0036775,307-double-indemnity,996,double-indemnity,double_indemnity,FALSE
/film/fichefilm_gen_cfilm=106.html,tt0062687,6399-asterix-et-cleopatre,9929,null,asterix_and_cleopatra,FALSE
/film/fichefilm_gen_cfilm=108.html,tt0080437,3153-the-big-red-one,16121,the-big-red-one,big_red_one,FALSE
/film/fichefilm_gen_cfilm=111.html,tt0080360,5206-altered-states,11542,altered-states,altered_states,FALSE
/film/fichefilm_gen_cfilm=112.html,tt0088322,27854-under-the-volcano,41089,null,under_the_volcano,FALSE
/film/fichefilm_gen_cfilm=113.html,tt0073152,19465-im-lauf-der-zeit,10834,null,kings_of_the_road,FALSE
/film/fichefilm_gen_cfilm=114.html,tt0085190,3165-au-nom-de-tous-les-miens,74400,null,null,FALSE
/film/fichefilm_gen_cfilm=115.html,tt0018455,331-sunrise-a-song-of-two-humans,631,null,sunrise,FALSE
/film/fichefilm_gen_cfilm=116.html,tt0053638,59096-austerlitz,50791,null,770877028,FALSE
/film/fichefilm_gen_cfilm=117.html,tt0052561,18784-anatomy-of-a-murder,93,anatomy-of-a-murder,anatomy-of-a-murder,FALSE
